radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr
29.518667,0.224,37.84465,0.104,11.858,0.05,12.253,0.038
29.666928,0.099,37.634765,0.06,11.841,0.054,12.344,0.035
29.46432,0.353,37.884764,0.154,11.754,0.052,12.651,0.036
29.263241,0.067,37.929052,0.038,11.74,0.041,12.211,0.015
29.479971,0.276,37.879414,0.12,11.61,0.047,12.065,0.038
29.382685,0.062,37.894619,0.04,11.579,0.043,12.039,0.013
29.830619,0.125,37.845764,0.087,11.509,0.057,12.181,0.041
29.583213,0.324,37.885006,0.255,11.369,0.057,11.872,0.04
29.552359,0.475,38.066484,0.273,11.358,0.054,12.368,0.045
29.547562,0.118,37.65929,0.06,11.351,0.056,11.793,0.037
29.490777,0.219,37.806238,0.242,11.34,0.102,11.846,0.101
29.580472,0.366,37.888976,0.289,11.279,0.056,12.807,0.038
29.359019,0.076,37.6556,0.046,11.26,0.043,11.703,0.011
29.260381,0.052,37.885485,0.055,11.214,0.041,11.674,0.009
29.570267,0.101,37.637771,0.058,11.175,0.056,11.612,0.035
29.232358,0.086,37.79983,0.055,11.17,0.04,11.583,0.01
29.551082,0.089,37.543963,0.056,11.133,0.059,11.633,0.04
29.233847,0.059,37.986675,0.032,11.081,0.047,11.601,0.016
29.446407,0.244,37.791738,0.096,10.923,0.051,11.324,0.034
29.585757,0.447,38.053729,0.295,10.916,0.054,12.014,0.047
29.552893,0.1,37.57791,0.067,10.897,0.053,11.301,0.041
29.532088,0.132,37.665845,0.062,10.873,0.058,11.266,0.039
29.364471,0.077,37.586214,0.049,10.736,0.04,11.133,0.01
29.681038,0.193,37.904157,0.137,10.655,0.052,11.04,0.039
29.485169,0.24,37.833628,0.103,10.645,0.049,11.088,0.036
29.441985,0.547,38.07449,0.299,10.439,0.061,10.862,0.061
29.358331,0.056,37.722137,0.087,10.421,0.039,10.861,0.011
29.414404,0.342,37.873849,0.155,10.418,0.053,10.815,0.037
29.433202,0.314,37.861669,0.107,10.396,0.048,10.831,0.037
29.163413,0.057,37.861425,0.05,10.357,0.041,10.751,0.012
29.378844,0.053,37.916079,0.034,10.244,0.033,10.679,0.012
29.220998,0.048,37.869258,0.044,10.236,0.034,10.696,0.012
29.357965,0.082,37.861839,0.054,10.196,0.038,11.13,0.019
29.336342,0.048,37.861984,0.041,10.155,0.039,10.65,0.014
29.456457,0.23,37.820551,0.143,10.126,0.051,10.693,0.039
29.234766,0.055,37.664273,0.039,10.112,0.032,10.541,0.002
29.436433,0.392,37.988419,0.185,10.068,0.031,10.512,0.038
29.175241,0.075,37.81789,0.056,10.066,0.033,10.521,0.015
29.407016,0.299,37.816857,0.096,10.032,0.026,10.482,0.037
