radeg,decdeg,Johnson_V,Johnson_B
19.48642,58.812648,12.887,13.659
19.385921,58.692601,13.104,13.561
18.521634,58.774359,12.985,13.542
19.385972,58.69266,12.973,13.496
18.80488,58.567261,12.176,13.473
18.920191,58.81688,13,13.299
19.256247,58.886042,12.899,13.225
18.638509,58.856112,12.545,13.219
19.151481,59.029872,12.528,13.181
18.911574,58.780768,12.274,13.126
19.032574,59.068724,12.699,13.122
19.025827,58.801861,12.824,13.088
19.188403,59.046555,12.563,13.057
18.687161,58.862802,12.197,13.038
18.546992,58.767421,12.48,13.015
18.7632,59.027267,12.301,12.989
19.018528,58.780702,12.689,12.978
18.756151,58.605452,11.763,12.978
19.236946,58.591026,11.694,12.97
19.030684,58.791501,12.683,12.895
19.382993,58.770803,12.249,12.873
18.755074,58.858332,12.265,12.861
19.044115,58.995033,12.353,12.855
18.967205,58.995739,12.493,12.839
18.910098,58.644408,12.099,12.758
18.92363,59.08192,12.485,12.747
18.966847,58.800945,11.985,12.645
19.126475,58.908681,12.058,12.629
18.526241,58.863595,10.981,12.527
18.636988,58.825807,11.844,12.454
19.00964,58.841042,12.182,12.426
19.242635,58.895335,11.717,12.285
19.021798,58.726651,10.898,12.201
18.567474,58.803331,10.701,12.097
19.270306,58.899651,10.763,12.064
18.912546,59.069572,11.404,11.986
19.166462,58.680331,10.603,11.904
19.189118,58.610573,11.286,11.853
19.392128,58.772685,11.527,11.803
18.762164,58.883329,10.268,11.753
18.671533,58.769314,10.911,11.718
19.002852,58.8128,11.296,11.608
19.147242,58.785348,10.245,11.607
18.969465,59.017671,11.302,11.595
19.080662,59.074294,10.121,11.51
18.994585,58.81887,11.349,11.491
18.993648,58.819418,11.24,11.466
19.022782,58.773723,11.177,11.39
19.376827,58.654196,11.037,11.321
18.880798,59.044797,10.724,11.288
18.721396,58.812485,10.926,11.179
19.185158,58.65176,10.371,10.662
19.277554,58.856544,9.413,10.621
19.211809,59.04727,10.224,10.361
19.080644,58.779677,9.492,10.234
19.341848,58.888133,9.764,10.046
