radeg,"raerr("")",decdeg,"decerr("")",Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.036354,0.43,-10.529796,0.261,16.566,0.034,15.938,0.046
195.646369,0.336,-10.226626,0.229,16.379,0.013,15.936,0.043
196.329115,0.51,-10.222026,0.305,16.559,0.048,15.935,0.1
195.83548,0.447,-10.050721,0.338,16.867,0.104,15.932,0.049
196.33714,0.599,-10.452662,0.502,16.482,0.072,15.92,0.054
196.296119,0.473,-10.162593,0.305,16.374,0.058,15.917,0.048
196.380084,0.366,-10.440341,0.181,17.337,0.141,15.915,0.065
195.908519,0.383,-10.176862,0.228,16.461,0.021,15.915,0.041
196.162629,0.26,-10.265068,0.216,16.26,0.014,15.915,0.066
195.961825,0.454,-10.711407,0.207,16.645,0.072,15.905,0.046
196.017607,0.258,-10.732492,0.253,16.655,0.084,15.896,0.055
195.901682,0.351,-10.402487,0.299,16.416,0.048,15.883,0.048
195.759621,0.497,-10.358565,0.282,16.659,0.044,15.879,0.034
195.860582,0.449,-10.467565,0.252,16.526,0.083,15.875,0.079
195.658971,0.28,-10.450535,0.22,16.419,0.054,15.875,0.071
196.14793,0.304,-10.38869,0.232,16.266,0.022,15.861,0.045
195.882841,0.391,-9.949698,0.218,17.28,0.066,15.848,0.04
196.360902,0.338,-10.446953,0.31,16.502,0.04,15.841,0.076
195.892317,0.317,-10.514515,0.305,16.282,0.022,15.829,0.04
195.948649,0.308,-10.176212,0.188,16.505,0.042,15.823,0.045
196.300369,0.283,-10.106724,0.202,16.32,0.054,15.795,0.085
196.282672,0.273,-10.19385,0.281,17.015,0.076,15.785,0.038
195.850658,0.307,-10.063164,0.196,16.36,0.017,15.772,0.083
196.364982,0.266,-10.344607,0.253,16.361,0.045,15.766,0.093
196.010314,0.258,-10.068774,0.237,16.323,0.031,15.761,0.038
195.990458,0.607,-10.156353,0.786,16.474,0.077,15.756,0.062
196.166992,0.299,-10.726435,0.246,16.328,0.033,15.746,0.046
195.923566,0.346,-10.668703,0.355,16.641,0.048,15.745,0.048
196.447985,0.259,-10.345273,0.239,16.373,0.057,15.739,0.031
196.450302,0.418,-10.19135,0.269,16.307,0.021,15.738,0.036
196.09199,0.193,-10.341737,0.229,16.359,0.068,15.729,0.042
195.922461,0.247,-10.378375,0.176,16.237,0.031,15.728,0.084
196.303237,0.325,-10.115404,0.229,16.28,0.055,15.703,0.053
196.14901,0.351,-10.17791,0.188,16.458,0.039,15.7,0.038
195.946144,0.234,-10.530386,0.228,16.467,0.06,15.699,0.029
196.117067,0.305,-10.604804,0.371,16.825,0.05,15.686,0.052
196.075776,0.277,-10.491847,0.312,16.254,0.037,15.686,0.02
195.822291,0.172,-10.561704,0.205,16.049,0.05,15.673,0.05
195.978651,0.255,-10.454929,0.155,16.068,0.055,15.67,0.067
196.389149,0.46,-10.203187,0.379,16.798,0.071,15.666,0.063
196.077515,0.277,-10.342606,0.23,16.257,0.058,15.666,0.031
196.067538,0.324,-9.924583,0.238,16.384,0.04,15.665,0.033
195.736397,0.267,-10.080839,0.205,16.808,0.091,15.661,0.058
195.725934,0.304,-10.295135,0.249,17.049,0.07,15.659,0.045
195.965174,0.245,-10.283204,0.234,16.326,0.039,15.652,0.048
196.333025,0.559,-10.108097,0.287,16.766,0.069,15.649,0.029
196.153894,0.214,-10.061392,0.194,16.395,0.057,15.62,0.027
196.324776,0.411,-10.13758,0.269,16.449,0.047,15.609,0.052
195.941023,0.235,-10.34823,0.162,16.328,0.065,15.597,0.056
195.82546,0.394,-10.008872,0.264,16.136,0.043,15.591,0.059
195.700078,0.21,-10.271299,0.163,16.035,0.043,15.577,0.017
195.930454,0.243,-10.222083,0.195,16.194,0.05,15.57,0.057
195.915768,0.248,-10.691439,0.155,15.927,0.04,15.565,0.044
196.241095,0.253,-10.435061,0.268,16.985,0.073,15.561,0.096
196.370102,0.233,-10.556599,0.244,16.116,0.038,15.56,0.088
196.116194,0.305,-10.173866,0.196,16.001,0.052,15.541,0.059
195.844545,0.292,-10.370207,0.215,15.842,0.028,15.539,0.054
196.055933,0.375,-10.064699,0.258,16.915,0.041,15.535,0.046
195.933464,0.205,-9.955421,0.381,16.882,0.046,15.529,0.063
195.8974,0.214,-10.555978,0.216,16,0.019,15.527,0.053
196.167564,0.373,-10.385188,0.176,16.571,0.025,15.518,0.037
196.111324,0.381,-10.672352,0.202,16.773,0.09,15.517,0.032
195.909822,0.249,-10.105224,0.183,16.221,0.066,15.508,0.036
196.218715,0.145,-10.130423,0.298,16.302,0.036,15.5,0.024
196.356225,0.295,-10.39091,0.221,15.703,0.043,15.493,0.063
195.901028,0.256,-10.55089,0.138,16.347,0.02,15.485,0.051
196.124561,0.321,-10.498901,0.173,16.901,0.036,15.484,0.057
196.369469,0.278,-10.562392,0.219,15.999,0.056,15.46,0.068
196.230917,0.228,-10.135135,0.185,16.25,0.037,15.458,0.065
196.286356,0.194,-10.287091,0.312,15.82,0.081,15.438,0.062
195.74643,0.236,-10.248701,0.173,16.021,0.025,15.425,0.053
196.026226,0.302,-10.25563,0.183,15.923,0.027,15.422,0.042
195.914994,0.24,-10.06557,0.201,16.068,0.06,15.419,0.04
196.098452,0.267,-10.494504,0.143,16.048,0.023,15.414,0.047
195.969016,0.224,-10.400741,0.314,16.802,0.059,15.411,0.064
196.012299,0.296,-10.340619,0.342,16.082,0.057,15.407,0.052
196.025513,0.384,-10.646697,0.261,16.283,0.077,15.403,0.028
196.024853,0.212,-10.106912,0.156,15.645,0.034,15.397,0.049
195.743256,0.252,-10.140589,0.233,16.055,0.052,15.393,0.029
195.814772,0.322,-10.28854,0.297,16.43,0.035,15.391,0.071
196.291544,0.183,-10.562718,0.165,15.839,0.04,15.373,0.021
195.732676,0.168,-10.168198,0.199,16.033,0.031,15.363,0.044
196.081558,0.34,-10.419457,0.276,16.328,0.06,15.356,0.056
195.892113,0.276,-10.150536,0.184,16.037,0.027,15.343,0.039
196.164857,0.16,-10.338373,0.196,15.866,0.007,15.341,0.069
196.176135,0.274,-10.646757,0.168,16.596,0.053,15.328,0.025
196.329292,0.256,-10.530872,0.237,16.013,0.03,15.323,0.061
196.304473,0.268,-10.176024,0.208,15.901,0.04,15.318,0.037
196.153851,0.15,-10.250607,0.16,15.747,0.035,15.294,0.052
195.767123,0.237,-10.07249,0.158,15.713,0.024,15.288,0.052
196.061762,0.184,-10.583378,0.204,15.944,0.024,15.274,0.037
196.215551,0.324,-10.656508,0.211,16.61,0.055,15.254,0.055
196.212485,0.167,-10.306396,0.13,15.74,0.024,15.25,0.065
196.089397,0.258,-10.004463,0.22,16.409,0.062,15.232,0.046
195.972334,0.396,-10.285575,0.18,15.58,0.025,15.224,0.057
196.10236,0.254,-10.687877,0.364,16.297,0.041,15.219,0.037
196.323923,0.534,-10.371625,0.296,15.763,0.045,15.191,0.029
