radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
195.935063,0.438,-10.477504,0.36,14.867,0.005,15.809,0.118,15.283,0.076,14.475,0.037
195.832062,0.22,-10.517155,0.195,14.803,0.029,15.847,0.025,15.299,0.044,14.456,0.026
196.115422,0.183,-10.392991,0.305,14.576,0.022,15.188,0.037,14.834,0.008,14.448,0.036
196.080114,0.251,-10.474338,0.203,14.56,0.014,15.343,0.021,14.929,0.03,14.394,0.009
195.949959,0.254,-10.167113,0.289,14.661,0.025,15.664,0.041,15.176,0.021,14.391,0.037
195.856237,0.447,-10.10857,0.291,14.584,0.035,15.373,0.066,14.94,0.018,14.378,0.031
195.975138,0.151,-10.400688,0.449,14.592,0.015,15.375,0.035,14.976,0.04,14.34,0.035
195.913522,0.373,-10.358693,0.303,14.82,0.027,15.926,0.053,15.358,0.034,14.328,0.016
196.1973,0.307,-10.157271,0.222,14.649,0.023,15.585,0.028,15.108,0.009,14.283,0.025
195.949531,0.373,-10.3847,0.302,14.565,0.031,15.519,0.034,14.975,0.008,14.254,0.025
196.253936,0.403,-10.416984,0.409,14.451,0.048,15.302,0.046,14.835,0.006,14.179,0.03
196.020339,0.262,-10.394065,0.166,14.273,0.026,14.872,0.028,14.511,0.012,14.177,0.033
195.926978,0.219,-10.314228,0.318,14.183,0.015,14.886,0.039,14.505,0.025,14.054,0.026
196.176902,0.353,-10.427758,0.307,14.15,0.022,14.858,0.028,14.451,0.014,13.996,0.038
195.98719,0.317,-10.286314,0.227,14.101,0.023,14.786,0.055,14.388,0.023,13.919,0.037
195.861129,0.263,-10.286018,0.319,14.331,0.011,15.481,0.047,14.919,0.027,13.89,0.021
195.910213,0.353,-10.099059,0.371,14.029,0.016,14.747,0.045,14.338,0.024,13.84,0.039
196.224184,0.45,-10.239304,0.241,14.024,0.028,14.746,0.031,14.333,0.012,13.816,0.033
